name,hex
Black,#000000
Midnight Blue,#003366
Navy Blue,#0066CC
Blue,#0066FF
Tropical Rain Forest,#00755E
Blue-Green,#0095B7
Pacific Blue,#009DC4
Caribbean Green,#00CC99
Robin's Egg Blue,#00CCCC
Pine Green,#01796F
Green,#01A638
Cerulean,#02A4D3
Denim,#1560BD
Mountain Meadow,#1AB385
Jungle Green,#29AB87
Outer Space,#2D383A
Shamrock,#33CC99
Bluetiful,#3C69E7
Indigo,#4F69C6
Forest Green,#5FA777
Eggplant,#614051
Fern,#63B76C
Blue-Violet,#6456B7
Purple Heart,#652DC1
Royal Purple,#6B3FA0
Turquoise Blue,#6CDAE7
Sky Blue,#76D7EA
Wild Blue Yonder,#7A89B8
Asparagus,#7BA05B
Vivid Violet,#803790
Violet,#8359A3
Shadow,#837050
Fuzzy Wuzzy,#87421F
Gray,#8B8680
Manatee,#8D90A1
Plum,#8E3179
Beaver,#926F5B
Cornflower,#93CCEA
Sea Green,#93DFB8
Aquamarine,#95E0E8
Blue Bell,#9999CC
Granny Smith Apple,#9DE093
Sepia,#9E5B40
Jazzberry Jam,#A50B5E
Cadet Blue,#A9B2C3
Brown,#AF593E
Inchworm,#AFE313
Olive Green,#B5B35C
Chestnut,#B94E48
Red-Violet,#BB3385
Powder Blue,#C0D5F0
Fuchsia,#C154C1
Maroon,#C32148
Periwinkle,#C3CDE6
Yellow-Green,#C5E17A
Brick Red,#C62D42
Antique Brass,#C88A65
Wisteria,#C9A0DC
Silver,#C9C0BB
Mahogany,#CA3435
Raw Sienna,#D27D46
Purple Mountains' Majesty,#D6AEDD
Timberwolf,#D9D6CF
Oatmeal,#D9DAD2
Cerise,#DA3287
Copper,#DA8A67
Blush,#DB5079
Cool Mint,#DDEBEC
Tumbleweed,#DEA681
Orchid,#E29CD2
Razzmatazz,#E30B5C
Gold,#E6BE8A
Mango Tango,#E77200
Burnt Sienna,#E97451
Spring Green,#ECEBBD
Red,#ED0A3F
Desert Sand,#EDC9AF
Almond,#EED9C4
Mauvelous,#F091A9
Crayellow,#F1D651
Green-Yellow,#F1E788
Magenta,#F653A6
Violet-Red,#F7468A
Pink Sherbert,#F7A38E
Tan,#FA9D5A
Lavender,#FBAED2
Banana Mania,#FBE7B2
Yellow,#FBE870
Pink Flamingo,#FC74FD
Tickle Me Pink,#FC80A5
Goldenrod,#FCD667
Scarlet,#FD0E35
Apricot,#FDD5B1
Piggy Pink,#FDD7E4
Sunset Orange,#FE4C40
Bittersweet,#FE6F5E
Melon,#FEBAAD
Wild Strawberry,#FF3399
Red-Orange,#FF681F
Burnt Orange,#FF7034
Orange,#FF8833
Salmon,#FF91A4
Vivid Tangerine,#FF9980
Carnation Pink,#FFA6C9
Yellow-Orange,#FFAE42
Cotton Candy,#FFB7D5
Macaroni and Cheese,#FFB97B
Peach,#FFCBA4
Canary,#FFFF99
White,#FFFFFF
