name,hex
Vivid Pink,#ffb5ba
Strong Pink,#ea9399
Deep Pink,#e4717a
Light Pink,#f9ccca
Moderate Pink,#dea5a4
Dark Pink,#c08081
Pale Pink,#ead8d7
Grayish Pink,#c4aead
Pinkish White,#eae3e1
Pinkish Gray,#c1b6b3
Vivid Red,#be0032
Strong Red,#bc3f4a
Deep Red,#841b2d
Very Deep Red,#5c0923
Moderate Red,#ab4e52
Dark Red,#722f37
Very Dark Red,#3f1728
Light Grayish Red,#ad8884
Grayish Red,#905d5d
Dark Grayish Red,#543d3f
Blackish Red,#2e1d21
Reddish Gray,#8f817f
Dark Reddish Gray,#5c504f
Reddish Black,#282022
Vivid Yellowish Pink,#ffb7a5
Strong Yellowish Pink,#f99379
Deep Yellowish Pink,#e66761
Light Yellowish Pink,#f4c2c2
Moderate Yellowish Pink,#d9a6a9
Dark Yellowish Pink,#c48379
Pale Yellowish Pink,#ecd5c5
Grayish Yellowish Pink,#c7ada3
Brownish Pink,#c2ac99
Vivid Reddish Orange,#e25822
Strong Reddish Orange,#d9603b
Deep Reddish Orange,#aa381e
Moderate Reddish Orange,#cb6d51
Dark Reddish Orange,#9e4732
Grayish Reddish Orange,#b4745e
Strong Reddish Brown,#882d17
Deep Reddish Brown,#56070c
Light Reddish Brown,#a87c6d
Moderate Reddish Brown,#79443b
Dark Reddish Brown,#3e1d1e
Light Grayish Reddish Brown,#977f73
Grayish Reddish Brown,#674c47
Dark Grayish Reddish Brown,#43302e
Vivid Orange,#f38400
Brilliant Orange,#fd943f
Strong Orange,#ed872d
Deep Orange,#be6516
Light Orange,#fab57f
Moderate Orange,#d99058
Brownish Orange,#ae6938
Strong Brown,#80461b
Deep Brown,#593319
Light Brown,#a67b5b
Moderate Brown,#6f4e37
Dark Brown,#422518
Light Grayish Brown,#958070
Grayish Brown,#635147
Dark Grayish Brown,#3e322c
Light Brownish Gray,#8e8279
Brownish Gray,#5b504f
Brownish Black,#28201c
Vivid Orange Yellow,#f6a600
Brilliant Orange Yellow,#ffc14f
Strong Orange Yellow,#eaa221
Deep Orange Yellow,#c98500
Light Orange Yellow,#fbc97f
Moderate Orange Yellow,#e3a857
Dark Orange Yellow,#be8a3d
Pale Orange Yellow,#fad6a5
Strong Yellowish Brown,#996515
Deep Yellowish Brown,#654522
Light Yellowish Brown,#c19a6b
Moderate Yellowish Brown,#826644
Dark Yellowish Brown,#4b3621
Light Grayish Yellowish Brown,#ae9b82
Grayish Yellowish Brown,#7e6d5a
Dark Grayish Yellowish Brown,#483c32
Vivid Yellow,#f3c300
Brilliant Yellow,#fada5e
Strong Yellow,#d4af37
Deep Yellow,#af8d13
Light Yellow,#f8de7e
Moderate Yellow,#c9ae5d
Dark Yellow,#ab9144
Pale Yellow,#f3e5ab
Grayish Yellow,#c2b280
Dark Grayish Yellow,#a18f60
Yellowish White,#f0ead6
Yellowish Gray,#bfb8a5
Light Olive Brown,#967117
Moderate Olive Brown,#6c541e
Dark Olive Brown,#3b3121
Vivid Greenish Yellow,#dcd300
Brilliant Greenish Yellow,#e9e450
Strong Greenish Yellow,#beb72e
Deep Greenish Yellow,#9b9400
Light Greenish Yellow,#eae679
Moderate Greenish Yellow,#b9b459
Dark Greenish Yellow,#98943e
Pale Greenish Yellow,#ebe8a4
Grayish Greenish Yellow,#b9b57d
Light Olive,#867e36
Moderate Olive,#665d1e
Dark Olive,#403d21
Light Grayish Olive,#8c8767
Grayish Olive,#5b5842
Dark Grayish Olive,#363527
Light Olive Gray,#8a8776
Olive Gray,#57554c
Olive Black,#25241d
Vivid Yellow Green,#8db600
Brilliant Yellow Green,#bdda57
Strong Yellow Green,#7e9f2e
Deep Yellow Green,#467129
Light Yellow Green,#c9dc89
Moderate Yellow Green,#8a9a5b
Pale Yellow Green,#dadfb7
Grayish Yellow Green,#8f9779
Strong Olive Green,#404f00
Deep Olive Green,#232f00
Moderate Olive Green,#4a5d23
Dark Olive Green,#2b3d26
Grayish Olive Green,#515744
Dark Grayish Olive Green,#31362b
Vivid Yellowish Green ,#27a64c
Brilliant Yellowish Green,#83d37d
Strong Yellowish Green,#44944a
Deep Yellowish Green,#00622d
Very Deep Yellowish Green,#003118
Very Light Yellowish Green,#b6e5af
Light Yellowish Green,#93c592
Moderate Yellowish Green,#679267
Dark Yellowish Green,#355e3b
Very Dark Yellowish Green,#173620
Vivid Green,#008856
Brilliant Green,#3eb489
Strong Green,#007959
Deep Green,#00543d
Very Light Green,#8ed1b2
Light Green,#6aab8e
Moderate Green,#3b7861
Dark Green,#1b4d3e
Very Dark Green,#1c352d
Very Pale Green,#c7e6d7
Pale Green,#8da399
Grayish Green,#5e716a
Dark Grayish Green,#3a4b47
Blackish Green,#1a2421
Greenish White,#dfede8
Light Greenish Gray,#b2beb5
Greenish Gray,#7d8984
Dark Greenish Gray,#4e5755
Greenish Black,#1e2321
Vivid Bluish Green,#008882
Brilliant Bluish Green,#00a693
Strong Bluish Green,#007a74
Deep Bluish Green,#00443f
Very Light Bluish Green,#96ded1
Light Bluish Green,#66ada4
Moderate Bluish Green,#317873
Dark Bluish Green,#004b49
Very Dark Bluish Green,#002a29
Vivid Greenish Blue,#0085a1
Brilliant Greenish Blue,#239eba
Strong Greenish Blue,#007791
Deep Greenish Blue,#2e8495
Very Light Greenish Blue,#9cd1dc
Light Greenish Blue,#66aabc
Moderate Greenish Blue,#367588
Dark Greenish Blue,#004958
Very Dark Greenish Blue,#002e3b
Vivid Blue,#00a1c2
Brilliant Blue,#4997d0
Strong Blue,#0067a5
Deep Blue,#00416a
Very Light Blue,#a1caf1
Light Blue,#70a3cc
Moderate Blue,#436b95
Dark Blue,#00304e
Very Pale Blue,#bcd4e6
Pale Blue,#91a3b0
Grayish Blue,#536878
Dark Grayish Blue,#36454f
Blackish Blue,#202830
Bluish White,#e9e9ed
Light Bluish Gray,#b4bcc0
Bluish Gray,#81878b
Dark Bluish Gray,#51585e
Bluish Black,#202428
Vivid Purplish Blue,#30267a
Brilliant Purplish Blue,#6c79b8
Strong Purplish Blue,#545aa7
Deep Purplish Blue,#272458
Very Light Purplish Blue,#b3bce2
Light Purplish Blue,#8791bf
Moderate Purplish Blue,#4e5180
Dark Purplish Blue,#252440
Very Pale Purplish Blue,#c0c8e1
Pale Purplish Blue,#8c92ac
Grayish Purplish Blue,#4c516d
Vivid Violet,#9065ca
Brilliant Violet,#7e73b8
Strong Violet,#604e97
Deep Violet,#32174d
Very Light Violet,#dcd0ff
Light Violet,#8c82b6
Moderate Violet,#604e81
Dark Violet,#2f2140
Very Pale Violet,#c4c3dd
Pale Violet,#9690ab
Grayish Violet,#554c69
Vivid Purple,#9a4eae
Brilliant Purple,#d399e6
Strong Purple,#875692
Deep Purple,#602f6b
Very Deep Purple,#401a4c
Very Light Purple,#d5badb
Light Purple,#b695c0
Moderate Purple,#86608e
Dark Purple,#563c5c
Very Dark Purple,#301934
Very Pale Purple,#d6cadd
Pale Purple,#aa98a9
Grayish Purple,#796878
Dark Grayish Purple,#50404d
Blackish Purple,#291e29
Purplish White,#e8e3e5
Light Purplish Gray,#bfb9bd
Purplish Gray,#8b8589
Dark Purplish Gray,#5d555b
Purplish Black,#242124
Vivid Reddish Purple,#870074
Strong Reddish Purple,#9e4f88
Deep Reddish Purple,#702963
Very Deep Reddish Purple,#54194e
Light Reddish Purple,#b784a7
Moderate Reddish Purple,#915c83
Dark Reddish Purple,#5d3954
Very Dark Reddish Purple,#341731
Pale Reddish Purple,#aa8a9e
Grayish Reddish Purple,#836479
Brilliant Purplish Pink,#ffc8d6
Strong Purplish Pink,#e68fac
Deep Purplish Pink,#de6fa1
Light Purplish Pink,#efbbcc
Moderate Purplish Pink,#d597ae
Dark Purplish Pink,#c17e91
Pale Purplish Pink,#e8ccd7
Grayish Purplish Pink,#c3a6b1
Vivid Purplish Red,#ce4676
Strong Purplish Red,#b3446c
Deep Purplish Red,#78184a
Very Deep Purplish Red,#54133b
Moderate Purplish Red,#a8516e
Dark Purplish Red,#673147
Very Dark Purplish Red,#38152c
Light Grayish Purplish Red,#af868e
Grayish Purplish Red,#915f6d
White,#f2f3f4
Light Gray,#b9b8b5
Medium Gray,#848482
Dark Gray,#555555
Black,#222222
