name,hex
Green beige,#bebd7f
Beige,#c2b078
Sand yellow,#c6a664
Signal yellow,#e5be01
Golden yellow,#cda434
Honey yellow,#a98307
Maize yellow,#e4a010
Daffodil yellow,#dc9d00
Brown beige,#8a6642
Lemon yellow,#c7b446
Oyster white,#eae6ca
Ivory,#e1cc4f
Light ivory,#e6d690
Sulfur yellow,#edff21
Saffron yellow,#f5d033
Zinc yellow,#f8f32b
Grey beige,#9e9764
Olive yellow,#999950
Rape yellow,#f3da0b
Traffic yellow,#fad201
Ochre yellow,#aea04b
Luminous yellow,#ffff00
Curry,#9d9101
Melon yellow,#f4a900
Broom yellow,#d6ae01
Dahlia yellow,#f3a505
Pastel yellow,#efa94a
Pearl beige,#6a5d4d
Pearl gold,#705335
Sun yellow,#f39f18
Yellow orange,#ed760e
Red orange,#c93c20
Vermilion,#cb2821
Pastel orange,#ff7514
Pure orange,#f44611
Luminous orange,#ff2301
Luminous bright orange,#ffa420
Bright red orange,#f75e25
Traffic orange,#f54021
Signal orange,#d84b20
Deep orange,#ec7c26
Salmon range,#e55137
Pearl orange,#c35831
Flame red,#af2b1e
Signal red,#a52019
Carmine red,#a2231d
Ruby red,#9b111e
Purple red,#75151e
Wine red,#5e2129
Black red,#412227
Oxide red,#642424
Brown red,#781f19
Beige red,#c1876b
Tomato red,#a12312
Antique pink,#d36e70
Light pink,#ea899a
Coral red,#b32821
Rose,#e63244
Strawberry red,#d53032
Traffic red,#cc0605
Salmon pink,#d95030
Luminous red,#f80000
Luminous bright red,#fe0000
Raspberry red,#c51d34
Pure  red,#cb3234
Orient red,#b32428
Pearl ruby red,#721422
Pearl pink,#b44c43
Red lilac,#6d3f5b
Red violet,#922b3e
Heather violet,#de4c8a
Claret violet,#641c34
Blue lilac,#6c4675
Traffic purple,#a03472
Purple violet,#4a192c
Signal violet,#924e7d
Pastel violet,#a18594
Telemagenta,#cf3476
Pearl violet,#8673a1
Pearl black berry,#6c6874
Violet blue,#354d73
Green blue,#1f3438
Ultramarine blue,#20214f
Saphire blue,#1d1e33
Black blue,#18171c
Signal blue,#1e2460
Brillant blue,#3e5f8a
Grey blue,#26252d
Azure blue,#025669
Gentian blue,#0e294b
Steel blue,#231a24
Light blue,#3b83bd
Cobalt blue,#1e213d
Pigeon blue,#606e8c
Sky blue,#2271b3
Traffic blue,#063971
Turquoise blue,#3f888f
Capri blue,#1b5583
Ocean blue,#1d334a
Water blue,#256d7b
Night blue,#252850
Distant blue,#49678d
Pastel blue,#5d9b9b
Pearl gentian blue,#2a6478
Pearl night blue,#102c54
Patina green,#316650
Emerald green,#287233
Leaf green,#2d572c
Olive green,#424632
Blue green,#1f3a3d
Moss green,#2f4538
Grey olive,#3e3b32
Bottle green,#343b29
Brown green,#39352a
Fir green,#31372b
Grass green,#35682d
Reseda green,#587246
Black green,#343e40
Reed green,#6c7156
Yellow olive,#47402e
Black olive,#3b3c36
Turquoise green,#1e5945
May green,#4c9141
Yellow green,#57a639
Pastel green,#bdecb6
Chrome green,#2e3a23
Pale green,#89ac76
Olive drab,#25221b
Traffic green,#308446
Fern green,#3d642d
Opal green,#015d52
Light green,#84c3be
Pine green,#2c5545
Mint green,#20603d
Signal green,#317f43
Mint turquoise,#497e76
Pastel turquoise,#7fb5b5
Pearl green,#1c542d
Pearl opal green,#193737
Pure green,#008f39
Luminous green,#00bb2d
Squirrel grey,#78858b
Silver grey,#8a9597
Olive grey,#7e7b52
Moss grey,#6c7059
Signal grey,#969992
Mouse grey,#646b63
Beige grey,#6d6552
Khaki grey,#6a5f31
Green grey,#4d5645
Tarpaulin grey,#4c514a
Iron grey,#434b4d
Basalt grey,#4e5754
Brown grey,#464531
Slate grey,#434750
Anthracite grey,#293133
Black grey,#23282b
Umbra grey,#332f2c
Concrete grey,#686c5e
Graphite grey,#474a51
Granite grey,#2f353b
Stone grey,#8b8c7a
Blue grey,#474b4e
Pebble grey,#b8b799
Cement grey,#7d8471
Yellow grey,#8f8b66
Light grey,#d7d7d7
Platinum grey,#7f7679
Dusty grey,#7d7f7d
Agate grey,#b5b8b1
Quartz grey,#6c6960
Window grey,#9da1aa
Traffic grey A,#8d948d
Traffic grey B,#4e5452
Silk grey,#cac4b0
Telegrey 1,#909090
Telegrey 2,#82898f
Telegrey 4,#d0d0d0
Pearl mouse grey,#898176
Green brown,#826c34
Ochre brown,#955f20
Signal brown,#6c3b2a
Clay brown,#734222
Copper brown,#8e402a
Fawn brown,#59351f
Olive brown,#6f4f28
Nut brown,#5b3a29
Red brown,#592321
Sepia brown,#382c1e
Chestnut brown,#633a34
Mahogany brown,#4c2f27
Chocolate brown,#45322e
Grey brown,#403a3a
Black brown,#212121
Orange brown,#a65e2e
Beige brown,#79553d
Pale brown,#755c48
Terra brown,#4e3b31
Pearl copper,#763c28
Cream,#fdf4e3
Grey white,#e7ebda
Signal white,#f4f4f4
Signal black,#282828
Jet black,#0a0a0a
White aluminium,#a5a5a5
Grey aluminium,#8f8f8f
Pure white,#ffffff
Graphite black,#1c1c1c
Traffic white,#f6f6f6
Traffic black,#1e1e1e
Papyrus white,#d7d7d7
Pearl light grey,#9c9c9c
Pearl dark grey,#828282
