name, hex
cloudy blue,#acc2d9	
dark pastel green,#56ae57	
dust,#b2996e	
electric lime,#a8ff04	
fresh green,#69d84f	
light eggplant,#894585	
nasty green,#70b23f	
really light blue,#d4ffff	
tea,#65ab7c	
warm purple,#952e8f	
yellowish tan,#fcfc81	
cement,#a5a391	
dark grass green,#388004	
dusty teal,#4c9085	
grey teal,#5e9b8a	
macaroni and cheese,#efb435	
pinkish tan,#d99b82	
spruce,#0a5f38	
strong blue,#0c06f7	
toxic green,#61de2a	
windows blue,#3778bf	
blue blue,#2242c7	
blue with a hint of purple,#533cc6	
booger,#9bb53c	
bright sea green,#05ffa6	
dark green blue,#1f6357	
deep turquoise,#017374	
green teal,#0cb577	
strong pink,#ff0789	
bland,#afa88b	
deep aqua,#08787f	
lavender pink,#dd85d7	
light moss green,#a6c875	
light seafoam green,#a7ffb5	
olive yellow,#c2b709	
pig pink,#e78ea5	
deep lilac,#966ebd	
desert,#ccad60	
dusty lavender,#ac86a8	
purpley grey,#947e94	
purply,#983fb2	
candy pink,#ff63e9	
light pastel green,#b2fba5	
boring green,#63b365	
kiwi green,#8ee53f	
light grey green,#b7e1a1	
orange pink,#ff6f52	
tea green,#bdf8a3	
very light brown,#d3b683	
egg shell,#fffcc4	
eggplant purple,#430541	
powder pink,#ffb2d0	
reddish grey,#997570	
baby shit brown,#ad900d	
liliac,#c48efd	
stormy blue,#507b9c	
ugly brown,#7d7103	
custard,#fffd78	
darkish pink,#da467d	
deep brown,#410200	
greenish beige,#c9d179	
manilla,#fffa86	
off blue,#5684ae	
battleship grey,#6b7c85	
browny green,#6f6c0a	
bruise,#7e4071	
kelley green,#009337	
sickly yellow,#d0e429	
sunny yellow,#fff917	
azul,#1d5dec	
darkgreen,#054907	
green/yellow,#b5ce08	
lichen,#8fb67b	
light light green,#c8ffb0	
pale gold,#fdde6c	
sun yellow,#ffdf22	
tan green,#a9be70	
burple,#6832e3	
butterscotch,#fdb147	
toupe,#c7ac7d	
dark cream,#fff39a	
indian red,#850e04	
light lavendar,#efc0fe	
